Top row: Eigenvealues.
Corresponding eigenvectors in columns below each eigenvalue.
-nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       31963.5         29425          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       36247.1       14037.4       14714.8          -nan          -nan          -nan       38828.9          -nan          -nan       70399.6          -nan       10842.9       67600.4          -nan          -nan          -nan          -nan       52989.3          -nan          -nan       56801.8          -nan          -nan          -nan          -nan          -nan          -nan       15404.1          -nan       28586.7       43962.2       27753.2       50601.2          -nan          -nan       37968.4          -nan          -nan       35387.2          -nan          -nan          -nan       75066.1          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       1917.88       19771.6       37107.6          -nan       72877.1          -nan       34528.4          -nan       73888.1          -nan          -nan          -nan          -nan          -nan       74446.1       13372.4          -nan       47322.8          -nan          -nan          -nan          -nan          -nan       48151.2          -nan       2816.38          -nan          -nan         45651          -nan       33671.3          -nan          -nan          -nan       12080.9          -nan          -nan       31113.8          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan       54541.5       55304.4          -nan          -nan       20534.5          -nan          -nan          -nan         63621       9091.94       73158.1          -nan
      0.115895    -0.0655344    -0.0788372      0.110114     0.0165716     -0.119485     0.0509928     0.0906501     -0.102252      -0.03283      0.120816    -0.0354875      -0.10075     0.0924579     0.0484678     -0.119865     0.0193115      0.108945    -0.0809159    -0.0631896      0.116647   -0.00277042     -0.115081     0.0678446     0.0767171     -0.111225     -0.013823      0.119042     -0.053491    -0.0887946      0.103701     0.0301551     -0.120753     0.0381264     0.0991938     -0.094217    -0.0459173      0.120182    -0.0220412     -0.107718     0.0829521     0.0608117     -0.117339    0.00553939      0.114207    -0.0701192    -0.0745566      0.112278     0.0110671     -0.118536     0.0559611     0.0868924     -0.105096    -0.0274645      0.120626    -0.0407453    -0.0975859     0.0959267     0.0433427     -0.120435     0.0247593      0.106435    -0.0849446    -0.0584017      0.117969   -0.00830544     -0.113272      0.072357      0.072357     -0.113272   -0.00830544      0.117969    -0.0584017    -0.0849446      0.106435     0.0247593     -0.120435     0.0433427     0.0959267    -0.0975859    -0.0407453      0.120626    -0.0274645     -0.105096     0.0868924     0.0559611     -0.118536     0.0110671      0.112278    -0.0745566    -0.0701192      0.114207    0.00553939     -0.117339     0.0608117     0.0829521     -0.107718    -0.0220412      0.120182    -0.0459173     -0.094217     0.0991938     0.0381264     -0.120753     0.0301551      0.103701    -0.0887946     -0.053491      0.119042     -0.013823     -0.111225     0.0767171     0.0678446     -0.115081   -0.00277043      0.116647    -0.0631896    -0.0809159      0.108945     0.0193115     -0.119865     0.0484678     0.0924579      -0.10075    -0.0354875      0.120816      -0.03283     -0.102252     0.0906501     0.0509928     -0.119485     0.0165716      0.110114    -0.0788372    -0.0655344      0.115895
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     0.0459173     0.0849446      0.111225      0.120816      0.112278     0.0868924     0.0484678    0.00277043    -0.0433427    -0.0829521     -0.110114     -0.120753     -0.113272    -0.0887946    -0.0509929   -0.00553939     0.0407453     0.0809159      0.108945      0.120626      0.114207       0.09065      0.053491    0.00830543    -0.0381264    -0.0788373     -0.107718     -0.120435     -0.115081    -0.0924579    -0.0559611    -0.0110671     0.0354875     0.0767171      0.106435      0.120182      0.115895     0.0942171     0.0584018      0.013823      -0.03283    -0.0745567     -0.105096     -0.119865     -0.116647    -0.0959267    -0.0608117    -0.0165716     0.0301552      0.072357      0.103701      0.119485      0.117339     0.0975859     0.0631896     0.0193114    -0.0274645    -0.0701193     -0.102252     -0.119042     -0.117969    -0.0991938    -0.0655343    -0.0220412     0.0247594     0.0678447       0.10075      0.118536      0.118536       0.10075     0.0678446     0.0247593    -0.0220413    -0.0655344    -0.0991938     -0.117969     -0.119042     -0.102252    -0.0701192    -0.0274644     0.0193115     0.0631897     0.0975859      0.117339      0.119485      0.103701     0.0723569     0.0301551    -0.0165716    -0.0608117    -0.0959267     -0.116647     -0.119865     -0.105096    -0.0745566    -0.0328299      0.013823     0.0584018     0.0942171      0.115895      0.120182      0.106435     0.0767171     0.0354875    -0.0110671    -0.0559611    -0.0924578     -0.115081     -0.120435     -0.107718    -0.0788372    -0.0381264    0.00830543      0.053491       0.09065      0.114207      0.120626      0.108945     0.0809159     0.0407453   -0.00553939    -0.0509929    -0.0887946     -0.113272     -0.120753     -0.110114    -0.0829521    -0.0433427    0.00277042     0.0484678     0.0868924      0.112278      0.120816      0.111225     0.0849446     0.0459173
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
      0.117969    -0.0509928    -0.0959267     0.0924579     0.0559611     -0.116647    -0.0055394      0.119042    -0.0459173    -0.0991938     0.0887946     0.0608117     -0.115081    -0.0110671      0.119865    -0.0407453     -0.102252     0.0849446     0.0655344     -0.113272    -0.0165716      0.120435    -0.0354875     -0.105096     0.0809159     0.0701192     -0.111225    -0.0220412      0.120753    -0.0301551     -0.107718     0.0767171     0.0745566     -0.108945    -0.0274645      0.120816    -0.0247593     -0.110114      0.072357     0.0788372     -0.106435      -0.03283      0.120626    -0.0193115     -0.112278     0.0678446     0.0829521     -0.103701    -0.0381264      0.120182     -0.013823     -0.114207     0.0631896     0.0868924      -0.10075    -0.0433427      0.119485   -0.00830544     -0.115895     0.0584017     0.0906501    -0.0975859    -0.0484678      0.118536   -0.00277042     -0.117339      0.053491      0.094217     -0.094217     -0.053491      0.117339    0.00277043     -0.118536     0.0484678     0.0975859    -0.0906501    -0.0584018      0.115895    0.00830544     -0.119485     0.0433427       0.10075    -0.0868924    -0.0631896      0.114207      0.013823     -0.120182     0.0381264      0.103701    -0.0829521    -0.0678446      0.112278     0.0193115     -0.120626       0.03283      0.106435    -0.0788372     -0.072357      0.110114     0.0247593     -0.120816     0.0274645      0.108945    -0.0745566    -0.0767171      0.107718     0.0301551     -0.120753     0.0220412      0.111225    -0.0701192    -0.0809159      0.105096     0.0354875     -0.120435     0.0165716      0.113272    -0.0655344    -0.0849446      0.102252     0.0407453     -0.119865     0.0110671      0.115081    -0.0608117    -0.0887946     0.0991938     0.0459173     -0.119042    0.00553939      0.116647    -0.0559611    -0.0924579     0.0959267     0.0509928     -0.117969
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     -0.120182    -0.0247593      0.115081     0.0484678     -0.105096    -0.0701192     0.0906501     0.0887946     -0.072357     -0.103701     0.0509928      0.114207    -0.0274645     -0.119865    0.00277043      0.120435     0.0220412     -0.115895    -0.0459173      0.106435     0.0678446    -0.0924579    -0.0868924     0.0745566      0.102252     -0.053491     -0.113272     0.0301551      0.119485   -0.00553939     -0.120626    -0.0193115      0.116647     0.0433427     -0.107718    -0.0655344      0.094217     0.0849446    -0.0767171      -0.10075     0.0559611      0.112278      -0.03283     -0.119042    0.00830544      0.120753     0.0165716     -0.117339    -0.0407453      0.108945     0.0631896    -0.0959267    -0.0829521     0.0788372     0.0991938    -0.0584017     -0.111225     0.0354875      0.118536    -0.0110671     -0.120816     -0.013823      0.117969     0.0381264     -0.110114    -0.0608117     0.0975859     0.0809159    -0.0809159    -0.0975859     0.0608117      0.110114    -0.0381264     -0.117969      0.013823      0.120816     0.0110671     -0.118536    -0.0354875      0.111225     0.0584017    -0.0991938    -0.0788372     0.0829521     0.0959267    -0.0631896     -0.108945     0.0407453      0.117339    -0.0165716     -0.120753   -0.00830545      0.119042       0.03283     -0.112278    -0.0559611       0.10075     0.0767171    -0.0849446     -0.094217     0.0655344      0.107718    -0.0433427     -0.116647     0.0193115      0.120626    0.00553939     -0.119485    -0.0301552      0.113272      0.053491     -0.102252    -0.0745566     0.0868924     0.0924579    -0.0678446     -0.106435     0.0459173      0.115895    -0.0220412     -0.120435   -0.00277043      0.119865     0.0274645     -0.114207    -0.0509928      0.103701      0.072357    -0.0887946    -0.0906501     0.0701192      0.105096    -0.0484678     -0.115081     0.0247593      0.120182
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     0.0887946      0.120435     0.0745566    -0.0193115      -0.10075     -0.117339    -0.0584017     0.0381264      0.110114      0.111225     0.0407453    -0.0559611     -0.116647     -0.102252    -0.0220412      0.072357      0.120182     0.0906501    0.00277042    -0.0868924     -0.120626    -0.0767171     0.0165716     0.0991938      0.117969     0.0608117    -0.0354875     -0.108945     -0.112278    -0.0433427      0.053491      0.115895      0.103701     0.0247593    -0.0701192     -0.119865    -0.0924578   -0.00553938     0.0849446      0.120753     0.0788372     -0.013823    -0.0975859     -0.118536    -0.0631896       0.03283      0.107718      0.113272     0.0459174    -0.0509928     -0.115081     -0.105096    -0.0274645     0.0678446      0.119485      0.094217    0.00830544    -0.0829521     -0.120816    -0.0809159     0.0110671     0.0959267      0.119042     0.0655343    -0.0301552     -0.106435     -0.114207    -0.0484678     0.0484678      0.114207      0.106435     0.0301551    -0.0655344     -0.119042    -0.0959267    -0.0110671     0.0809159      0.120816     0.0829521   -0.00830543     -0.094217     -0.119485    -0.0678446     0.0274645      0.105096      0.115081     0.0509928    -0.0459173     -0.113272     -0.107718      -0.03283     0.0631896      0.118536     0.0975859      0.013823    -0.0788373     -0.120753    -0.0849446     0.0055394     0.0924579      0.119865     0.0701192    -0.0247593     -0.103701     -0.115895     -0.053491     0.0433427      0.112278      0.108945     0.0354875    -0.0608117     -0.117969    -0.0991938    -0.0165716     0.0767171      0.120626     0.0868924   -0.00277042      -0.09065     -0.120182    -0.0723569     0.0220412      0.102252      0.116647     0.0559611    -0.0407453     -0.111225     -0.110114    -0.0381264     0.0584017      0.117339       0.10075     0.0193115    -0.0745566     -0.120435    -0.0887946
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
      0.119042     0.0407453     -0.105096    -0.0767171     0.0788372      0.103701    -0.0433427     -0.118536    0.00277042      0.119485     0.0381264     -0.106435    -0.0745566     0.0809159      0.102252    -0.0459173     -0.117969    0.00553939      0.119865     0.0354875     -0.107718     -0.072357     0.0829521       0.10075    -0.0484678     -0.117339    0.00830544      0.120182       0.03283     -0.108945    -0.0701192     0.0849446     0.0991938    -0.0509928     -0.116647     0.0110671      0.120435     0.0301551     -0.110114    -0.0678446     0.0868924     0.0975859     -0.053491     -0.115895      0.013823      0.120626     0.0274645     -0.111225    -0.0655344     0.0887946     0.0959267    -0.0559611     -0.115081     0.0165716      0.120753     0.0247593     -0.112278    -0.0631896     0.0906501      0.094217    -0.0584017     -0.114207     0.0193115      0.120816     0.0220412     -0.113272    -0.0608117     0.0924579     0.0924579    -0.0608117     -0.113272     0.0220412      0.120816     0.0193115     -0.114207    -0.0584017      0.094217     0.0906501    -0.0631896     -0.112278     0.0247593      0.120753     0.0165716     -0.115081    -0.0559611     0.0959267     0.0887946    -0.0655344     -0.111225     0.0274645      0.120626      0.013823     -0.115895     -0.053491     0.0975859     0.0868924    -0.0678446     -0.110114     0.0301551      0.120435     0.0110671     -0.116647    -0.0509928     0.0991938     0.0849446    -0.0701192     -0.108945       0.03283      0.120182    0.00830544     -0.117339    -0.0484678       0.10075     0.0829521     -0.072357     -0.107718     0.0354875      0.119865    0.00553939     -0.117969    -0.0459173      0.102252     0.0809159    -0.0745566     -0.106435     0.0381264      0.119485    0.00277042     -0.118536    -0.0433427      0.103701     0.0788372    -0.0767171     -0.105096     0.0407453      0.119042
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
